Category,Question,1,2,3,4,Answer,Explanation,Trial,Subcategory,Image,ID
Behavioral Science,Gemeinschaft deals with what portion of culture?,Community,Society,Humanism,Psychoanalysis,1,Gemeinschaft corresponds to the community aspect of sciology (overall view) while Gesellschaft corresponds to the society outlook.,No,Sociology,,A1
Behavioral Science,Gesellschaft deals with what portion of culture?,Community,Society,Humanism,Psychoanalysis,2,Gemeinschaft corresponds to the community aspect of sciology (overall view) while Gesellschaft corresponds to the society outlook.,No,Sociology,,A2
Behavioral Science,Broca's area is located in which lobe?,Temporal,Parietal,Frontal,Occipital,3,"Broca's area is located in the frontal lobe and for the majority of people, in the left hemisphere. It is primarily responsible for speech production",No,Neuroscience,P31,A3
Behavioral Science,Wernicke's area is located in which lobe?,Temporal,Parietal,Frontal,Occipital,1,Wernicke's area is located in the temporal lobe and is in the left hemisphere. It plays a major role in the comprehesion of language (speech or written),No,Neuroscience,P31,A4
Behavioral Science,Which of the following groups are considered the most intimate?,Triad,Dyad,Tetrad,Primary Group,2,"Dyads are considered to be the most intimate because the existence of the group relies on both individuals. If one person leaves the group, the group no longer exists. ",No,Sociology,,A5
Behavioral Science,Short term memory generally lasts for how long (without rehearsal)?,10 seconds,20 seconds,1 minute,2 minute,2,Research shows (could we mention what study?) that short-term memory can store information (without rehearsal) for up to 20 seconds.,No,Memory and Cognition,,A6
Behavioral Science,What is the range of numbers you can memorize for working memory?,5 to 9,One to three,20 to 25,12 to 15,1,Research shows that our working memory can hold up to 5 to 9 items (7 plus or minus 2) or chunks ,No,Memory and Cognition,,A7
Behavioral Science,Implicit memory includes which types of memory,Episodic and semantic,Episodic and procedure,Procedural and emotional,Procedural and semantic,3,Implict memory is considered unconscious. Procedural memory falls under this category (think muscle memory like riding a bike) and emotional fall under this. Episodic memory covers events while semantic memory will cover declarative facts.,No,Memory and Cognition,,A8
Behavioral Science,Episodic memory covers what type?,Skills,Emotion,Events,Implicit,3,Implict memory is considered unconscious. Procedural memory falls under this category (think muscle memory like riding a bike) and emotional fall under this. Episodic memory covers events while semantic memory will cover declarative facts.,No,Memory and Cognition,,A9
Behavioral Science,Semantic memory covers what type?,Facts,Events,Skills,Emotion,1,Implict memory is considered unconscious. Procedural memory falls under this category (think muscle memory like riding a bike) and emotional fall under this. Episodic memory covers events while semantic memory will cover declarative facts.,No,Memory and Cognition,,A10
Behavioral Science,Reinforcement does what to a behavior?,Decreases,Remains the same,None of these,Increase,4,Reinforcement increases behavior while punishment decreases behavior. ,No,Learning and Behavior,P32,A11
Behavioral Science,"In operant conditioning, what does it mean for something to be positive?",Remove something,Add something,Remain the same,It can do all of these,2,"In operant conditioning, positive refers to something being added (e.g., giving a child candy) while negative refers to something being removed (e.g., taking away a child's toy). ",No,Learning and Behavior,P32,A12
Behavioral Science,"In operant conditioning, what does it mean for something to be negative?",Remove something,Add something,Remain the same,It can do all of these3,1,"In operant conditioning, positive refers to something being added (e.g., giving a child candy) while negative refers to something being removed (e.g., taking away a child's toy)",No,Learning and Behavior,P32,A13
Behavioral Science,"In operant conditioning, what does it mean for something to be a punishment",Decreases,Remains the same,None of these,Increases,1,Reinforcement increases behavior while punishment decreases behavior. ,No,Learning and Behavior,P32,A14
Behavioral Science,What does an EEG measure?,Detailed structure,Voltage fluctuations,Blood oxygenation,Glucose metabolism,2,"EEG stands for electroencephalogram and measures electrical activity in the brain (i.e., voltage fluctuations)",No,Neuroscience,,A15
Behavioral Science,What does a CT scan give?,Detailed structure,Voltage fluctuations,Blood oxygenation,Glucose metabolism,1,CT stands for computerized tomography and uses numeorus X-rays and technology to provide more detailed images of the internal anatomy,No,Neuroscience,,A16
Behavioral Science,What does an fMRI produce?,Detailed structure,Voltage fluctuations,Blood oxygenation,Glucose metabolism,3,fMRI stands for functional magnetic resonance imaging and detects changes in levels of  blood flow and oxygen,No,Neuroscience,,A17
Behavioral Science,What does a PET scan give?,Detailed structure,Voltage fluctuations,Blood oxygenation,Glucose metabolism,4,"PET stands for positron emission tomography and uses tracers to measure metabolic changes (e.g., glucose metabolism)",No,Neuroscience,,A18
Behavioral Science,Which of the following is defined as the process needed to maintain social order?,Social control,Social Potentcy,Social culture,Social diffusion,1,"Social control includes conformity, peer pressure, and obedience. Compliance is also sometimes considered part of this combination. This helps maintain social order.",No,Sociology,,A19
Behavioral Science,Which of the following are aspects are needed to maintain social order?,Conformity,Peer pressure,obedience,All of the above,4,"Social control includes conformity, peer pressure, and obedience. Compliance is also sometimes considered part of this combination.",No,Sociology,,A20
Behavioral Science,Which of the following is similar to the bystander effect?,Social control,Diffusion of responsibility,Differential association theory,Social potency,2,Bystander effect ocurs when people in a group or crowd do not personally interevene in an external situation because they believe others will or others are responsible for it ,No,Sociology,,A21
Behavioral Science,Which of the following is similar to the diffusion of responsibility,Social control,Bystander effect,Differential association theory,Social potency,2,Bystander effect ocurs when people in a group or crowd do not personally interevene in an external situation because they believe others will or others are responsible for it ,No,Sociology,,A22
Behavioral Science,Which of the following is the function of the prefrontal cortex?,Planning/problem solving,Memory formation,Motor control and coordination,Storage of memory,1,"The function of the prefrontal cortex is to help with planning and problem solving, the medial temporal lobe is the place where memories are stored and formed, the amgydala is responsible for the emotional response such as anxiety, the cerebellum is responsible for motor control of the autonomic functions.",No,Neuroscience,P280,A23
Behavioral Science,Which of the following is the function of the medial temporal lobe?,Planning/problem solving,Memory formation and storage,Motor control and coordination,All of the above,2,"The function of the prefrontal cortex is to help with planning and problem solving, the medial temporal lobe is the place where memories are stored and formed, the amgydala is responsible for the emotional response such as anxiety, the cerebellum is responsible for motor control of the autonomic functions.",No,Neuroscience,P280,A24
Behavioral Science,The amgydala is responsible for what?,Planning/problem solving,Memory formation and storage,Emotional Responses,All of the above,3,"The function of the prefrontal cortex is to help with planning and problem solving, the medial temporal lobe is the place where memories are stored and formed, the amgydala is responsible for the emotional response such as anxiety, the cerebellum is responsible for motor control of the autonomic functions.",No,Neuroscience,P281,A25
Behavioral Science,What is the cerebellum used for?,Planning/problem solving,Memory formation and storage,Motor control and coordination,All of the above,3,"The function of the prefrontal cortex is to help with planning and problem solving, the medial temporal lobe is the place where memories are stored and formed, the amgydala is responsible for the emotional response such as anxiety, the cerebellum is responsible for motor control of the autonomic functions.",No,Neuroscience,P281,A26
Behavioral Science,Interpersonal attraction includes what?,Proximity and familiarity,Similarity and self-disclosure,Reciprocal-liking,All of the above,4,"Interpersonal attraction includes the following:  A) Proximity and familiarity, B) Similarity and self-disclosure, and C) Reciprocal-liking. If these are all increased, we are more likely to be attracted to the person.",No,Sociology,,A27
Behavioral Science,What happens the night after no REM sleep?,REM rebound,REM restriction,REM return,REM relaxation,1,"After sleep deprivation, REM sleep is increased in length and frequency. This is known as REM rebound ",No,Neuroscience,P282,A28
Behavioral Science,Motion parallax involves what?,Binocular depth cues,Balance,Closure,Monocular depth cue,4,"Motion parallax is a type of monocular depth cue that is used to detect how fast something appears to be moving, with things that are further away appearing to move slower compared to things that are in front of you appearing to move faster.",No,Sensation/Perception,,A29
Behavioral Science,The vestibular sense involves what?,Binocular depth cues,Balance,Close,Monocular depth cue,2,"The vestibular sense is often called the ""balance sense"", as it works with your proprioceptors to help determine your location in space.",No,Sensation/Perception,P285,A30
