Category,Question,1,2,Answer,Explanation,Trial,Subcategory,Image,ID
Behavioral Science,The left lobe deals with positive emotions,TRUE,FALSE,1,The left lobe deals with positive emotions (specifically in the left frontal lobe) while the right (specifically right frontal lobe) deals with negative emotions like disgust.,No,Neuroscience,,B1
Behavioral Science,The left lobe deals with negative emotions,TRUE,FALSE,2,The left lobe deals with positive emotions (specifically in the left frontal lobe) while the right (specifically right frontal lobe) deals with negative emotions like disgust.,No,Neuroscience,,B2
Behavioral Science,The right lobe deals with positive emotions.,TRUE,FALSE,2,The left lobe deals with positive emotions (specifically in the left frontal lobe) while the right (specifically right frontal lobe) deals with negative emotions like disgust.,No,Neuroscience,,B3
Behavioral Science,The right lobe deals with negative emotions,TRUE,FALSE,1,The left lobe deals with positive emotions (specifically in the left frontal lobe) while the right (specifically right frontal lobe) deals with negative emotions like disgust.,No,Neuroscience,,B4
Behavioral Science,Physiological arousal leads to interpretation in Schachter-Singer theory,TRUE,FALSE,1,Common sense is based on a subjective experience that leads to a bodily response. James Lange is based on a bodily response the results in a subjective experience. Cannon Bard states that a stimulus causes both the subjective experience and the bodily experience at the same time. The Schachter-Singer theory is based on a bodily response that leads to a cognitive interpretation that then results in a subjective experience.,No,Personality and Emotion,,B5
Behavioral Science,James-Lange theory of emotion is a physiological arousal that leads to interpretation,TRUE,FALSE,2,Common sense is based on a subjective experience that leads to a bodily response. James Lange is based on a bodily response the results in a subjective experience. Cannon Bard states that a stimulus causes both the subjective experience and the bodily experience at the same time. The Schachter-Singer theory is based on a bodily response that leads to a cognitive interpretation that then results in a subjective experience.,No,Personality and Emotion,,B6
Behavioral Science,"Social control includes conformity, peer pressure, and obedience",TRUE,FALSE,1,"Social control includes conformity, peer pressure, and obedience. Compliance is also sometimes considered part of this combination.",No,Sociology,,B7
Behavioral Science,Does socioeconomic status include social capital,TRUE,FALSE,2,"Socioeconomic status does not include social capital. It includes things like education, occupation, and the income a person makes.",No,Sociology,,B8
Behavioral Science,"SES includes occupation, education, and income",TRUE,FALSE,1,"Socioeconomic status does not include social capital. It includes things like education, occupation, and the income a person makes.",No,Sociology,,B9
Behavioral Science,The dichotic listening task has two different auditory messages with one to each ear,TRUE,FALSE,1,"This can also sometimes be referred to as a ""shadowing task"" if the listener is asked to repeat what he/she/they hears in one ear. ",No,Sensation/Perception,,B10
Behavioral Science,The dichotic listening task has two different auditory messages played to one ear,TRUE,FALSE,2,"In order for it to be a ""dichotic"" listening task, it needs to be played to BOTH ears, not just one.",No,Sensation/Perception,,B11
Behavioral Science,CT scan is used to analyze structure,TRUE,FALSE,1,"A CT scan uses an X-ray to show images of bones and tissues in the body. It shows the structure, but not the functioning of the body (unless combine with other techniques).",No,Neuroscience,,B12
Behavioral Science,CT scan is used to analyze function,TRUE,FALSE,2,"A CT scan uses an X-ray to show images of bones and tissues in the body. It shows the structure, but not the functioning of the body (unless combine with other techniques).",No,Neuroscience,,B13
Behavioral Science,MRI is used for structure,TRUE,FALSE,1,"An MRI is used to look at the structures in the body and can be combined with other techniques. It is used for structure, but can be functionality if it is an fMRI.",No,Neuroscience,,B14
Behavioral Science,MRI is used for functionality,TRUE,FALSE,2,"An MRI is used to look at the structures in the body and can be combined with other techniques. It is used for structure, but can be functionality if it is an fMRI.",No,Neuroscience,,B15
Behavioral Science,PET is used for structure and function,TRUE,FALSE,1,"A PET scan is used for both structure and function. It is generally accomplished with putting a chemical in the body and then detecting the metabolism of it (glucose in the brain, for example).",No,Neuroscience,,B16
Behavioral Science,Sensory interaction is when one sense interacts with another,TRUE,FALSE,1,An example of sensory interaction would be taste. It requires both the gustatory sense as well as the olfactory sense to be at its peak.,No,Sensation/Perception,,B17
Behavioral Science,The adrenal medulla is only innervated by the sympathetic nervous system,TRUE,FALSE,1,The adrenal medulla is responsible for releasing the catecholamines (norepinephrine and epinephrine) during stress responses. This is only activated when the sympathetic nervous system activates it and is used for short-term stress responses.,No,Neuroscience,,B18
Behavioral Science,The adrenal medulla is only innervated by the parasympathetic nervous system.,TRUE,FALSE,2,The adrenal medulla is responsible for releasing the catecholamines (norepinephrine and epinephrine) during stress responses. This is only activated when the sympathetic nervous system activates it and is used for short-term stress responses.,No,Neuroscience,,B19
Behavioral Science,James-Lange theory is based on arousal leading to subjective fear,TRUE,FALSE,1,Common sense is based on a subjective experience that leads to a bodily response. James Lange is based on a bodily response the results in a subjective experience. Cannon Bard states that a stimulus causes both the subjective experience and the bodily experience at the same time. The Schachter-Singer theory is based on a bodily response that leads to a cognitive interpretation that then results in a subjective experience.,No,Personality and Emotion,,B20
Behavioral Science,James-Lange theory is based on arousal and subjective fear occuring at the same time,TRUE,FALSE,2,Common sense is based on a subjective experience that leads to a bodily response. James Lange is based on a bodily response the results in a subjective experience. Cannon Bard states that a stimulus causes both the subjective experience and the bodily experience at the same time. The Schachter-Singer theory is based on a bodily response that leads to a cognitive interpretation that then results in a subjective experience.,No,Personality and Emotion,,B21
Behavioral Science,Cannon-Bard theory is based on arousal and fear occuring at the same time,TRUE,FALSE,1,Common sense is based on a subjective experience that leads to a bodily response. James Lange is based on a bodily response the results in a subjective experience. Cannon Bard states that a stimulus causes both the subjective experience and the bodily experience at the same time. The Schachter-Singer theory is based on a bodily response that leads to a cognitive interpretation that then results in a subjective experience.,No,Personality and Emotion,,B22
Behavioral Science,Cannon-Bard theory is based on arousal and fear occuring at different times,TRUE,FALSE,2,Common sense is based on a subjective experience that leads to a bodily response. James Lange is based on a bodily response the results in a subjective experience. Cannon Bard states that a stimulus causes both the subjective experience and the bodily experience at the same time. The Schachter-Singer theory is based on a bodily response that leads to a cognitive interpretation that then results in a subjective experience.,No,Personality and Emotion,,B23
